,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
118,TRUE,8.58,22.75,3.2,12.201,8.592,4000,256,5,0.01064034905,FALSE,0.6327592973,8.55E-06,fixed,100,5000,adam,0.5036700607,0.3443440432,0.3108086919,0.2398554506,,,,
122,TRUE,8.58,22.75,3.2,12.201,8.592,4000,256,5,0.01064034905,FALSE,0.6327592973,8.55E-06,fixed,100,5000,adam,0.5036700607,0.3443440432,0.3108086919,0.2398554506,,,,
108,TRUE,6.66,22.62,3.71,13.046,11.86,4000,256,10,0.6916819465,FALSE,0.6296974765,1.40E-05,fixed,100,5000,adam,0.686778655,0.3092188428,0.4039844592,0.4540110542,,,,
12,TRUE,8.39,22.33,2.23,11.168,8.172,4000,256,7,0.1903902514,FALSE,0.4990684489,7.09E-05,fixed,100,5000,adam,0.3331416453,0.2992375533,0.09240192182,0.6568670204,,,,
98,TRUE,7.69,22.3,2.57,12.202,9.063,4000,256,8,0.32232952,FALSE,0.6250945858,9.31E-06,fixed,100,5000,adam,0.4485531393,0.3561536003,0.5885692171,0.5504751394,,,,
39,TRUE,3.97,22.18,3.01,10.548,8.457,4000,256,10,0.1391067113,FALSE,0.364088175,9.69E-05,fixed,100,5000,adam,0.9799657173,0.2535004919,0.9691994762,0.06404802736,,,,
58,TRUE,5.53,22.06,1.25,13.538,13.304,4000,256,3,0.9109446137,FALSE,0.6830926895,5.34E-06,fixed,100,5000,adam,0.1437851271,0.3414094262,0.3230385606,0.5111275642,,,,
28,TRUE,5.09,21.96,1.9,8.505,7.443,4000,256,8,0.1426458104,FALSE,0.154360731,0.0008556278871,fixed,100,5000,adam,0.09689551499,0.9571860751,0.3565646101,0.0769343693,,,,
80,TRUE,5.12,21.93,2.78,11.598,10.593,4000,256,3,0.5900615467,FALSE,0.3082074493,4.74E-05,fixed,100,5000,adam,0.737056994,0.2425072473,0.5711684886,0.0531517126,,,,
29,TRUE,6.02,21.91,0.74,8.863,7.931,4000,256,6,0.03939688471,FALSE,0.1464533968,0.0002031027878,fixed,100,5000,adam,0.1571394492,0.4661669343,0.7458155229,0.1001086888,,,,
86,TRUE,4.94,21.86,2.68,13.113,12.232,4000,256,3,0.8060861927,FALSE,0.6168343032,0.0007478675171,fixed,100,5000,adam,0.2686022153,0.1142796539,0.09938660269,0.2119836422,,,,
87,TRUE,5.23,21.8,3.04,12.895,8.153,4000,256,7,0.09938140888,FALSE,0.7779567003,6.97E-06,fixed,100,5000,adam,0.7069442487,0.2267614005,0.6057624404,0.1986237095,,,,
91,TRUE,3.57,21.51,1.24,11.792,11.471,4000,256,7,0.6693945027,FALSE,0.1394576708,9.19E-05,fixed,100,5000,adam,0.9295511403,0.2070735461,0.6861286946,0.1617702232,,,,
96,TRUE,5.57,21.4,1.43,10.213,8.083,4000,256,5,0.2587283411,FALSE,0.351379251,8.82E-05,fixed,100,5000,adam,0.5470891546,0.2373020341,0.6021905488,0.7333172032,,,,
22,TRUE,3.99,21.15,0,12.175,10.698,4000,256,5,0.5674783088,FALSE,0.4654465492,8.23E-06,fixed,100,5000,adam,0.7633157523,0.2079856778,0.8069172628,0.5635369319,,,,
100,TRUE,3.25,21.04,1.62,11.361,9.839,4000,256,8,0.5112436009,FALSE,0.3713848904,6.96E-06,fixed,100,5000,adam,0.1218937092,0.8201438454,0.3213927878,0.9902113211,,,,
23,TRUE,1.31,19.99,0,13.453,12.01,4000,256,2,0.7268498169,FALSE,0.9258852678,0.0002072816314,fixed,100,5000,adam,0.9017206568,0.156428175,0.1265715546,0.2081903993,,,,
124,TRUE,3.39,19.85,0.21,10.739,7.569,4000,64,7,0.2894344902,FALSE,0.4868049725,0.0007870354819,fixed,100,5000,adam,0.383484441,0.1996516057,0.3014562536,0.9832523879,,,,
66,TRUE,0.84,19.7,3.18,13.119,9.161,4000,256,10,0.2694335321,FALSE,0.9087839494,0.0005921436404,fixed,100,5000,adam,0.03575116465,0.8671790732,0.01887427524,0.4854344239,,,,
102,TRUE,1.26,19.42,0,13.719,13.646,4000,256,3,0.9777989132,FALSE,0.9731247201,0.0005422010059,fixed,100,5000,adam,0.7952545452,0.1654253241,0.9801048463,0.05469828318,,,,
40,TRUE,0.61,19.13,1.31,13.226,12.866,4000,256,10,0.8648760715,FALSE,0.468455841,0.0008572045722,fixed,100,5000,adam,0.01051884366,0.2055149969,0.4320023173,0.5130499607,,,,
49,TRUE,0.59,19.11,1.38,10.996,8.282,4000,256,3,0.2468520835,FALSE,0.4632748047,8.13E-05,fixed,100,5000,adam,0.0706204787,0.8966660182,0.372343776,0.6765487526,,,,
9,TRUE,1.99,18.91,0,11.26,9.444,4000,256,6,0.4643667787,FALSE,0.4003109405,4.37E-06,fixed,100,5000,adam,0.2721294386,0.1970307696,0.4136724066,0.2315529326,,,,
78,TRUE,0.53,18.9,1.75,12.894,12.004,4000,256,7,0.764489054,FALSE,0.5280718786,0.0004169217746,fixed,100,5000,adam,0.04157516382,0.6207204035,0.1164244833,0.2363224279,,,,
8,TRUE,1.51,18.81,0.1,9.549,7.45,4000,256,7,0.0893633095,FALSE,0.3082634902,0.0004160214925,fixed,100,5000,adam,0.1928252402,0.1849673737,0.2821655577,0.5308498331,,,,
